date,open,high,low,close,volume
2025-04-07,1.290910,1.293420,1.270700,1.273300,0.000000
2025-04-08,1.273370,1.281400,1.272300,1.278580,0.000000
2025-04-09,1.278610,1.286400,1.274150,1.282440,0.000000
2025-04-10,1.282370,1.299700,1.282100,1.299020,0.000000
2025-04-11,1.298960,1.314510,1.298400,1.308000,0.000000
2025-04-13,1.307680,1.309010,1.306110,1.308360,0.000000
2025-04-14,1.308330,1.320100,1.308200,1.317200,0.000000
2025-04-15,1.317180,1.325190,1.316300,1.322990,0.000000
2025-04-16,1.322990,1.329220,1.321050,1.323240,0.000000
2025-04-17,1.323240,1.327320,1.320200,1.326480,0.000000
2025-04-20,1.327080,1.332000,1.327080,1.331380,0.000000
2025-04-21,1.331390,1.342200,1.331390,1.337930,0.000000
2025-04-22,1.337900,1.342280,1.323290,1.327170,0.000000
2025-04-23,1.327120,1.333880,1.324550,1.326460,0.000000
2025-04-24,1.326490,1.334900,1.325800,1.332670,0.000000
2025-04-25,1.332590,1.333300,1.327300,1.330900,0.000000
2025-04-27,1.330700,1.331200,1.328600,1.328960,0.000000
2025-04-28,1.328960,1.344330,1.327900,1.343430,0.000000
2025-04-29,1.343370,1.344190,1.337900,1.341150,0.000000
2025-04-30,1.341160,1.341410,1.330800,1.332040,0.000000
2025-05-01,1.332060,1.334530,1.325900,1.328510,0.000000
2025-05-02,1.328530,1.333080,1.325950,1.327100,0.000000
2025-05-04,1.326100,1.327600,1.325760,1.326910,0.000000
2025-05-05,1.326910,1.333630,1.326000,1.328990,0.000000
2025-05-06,1.329000,1.340270,1.325950,1.335140,0.000000
2025-05-07,1.335150,1.337720,1.327800,1.329100,0.000000
2025-05-08,1.329050,1.335620,1.323200,1.323840,0.000000
2025-05-09,1.323860,1.332270,1.321100,1.330400,0.000000
2025-05-11,1.325850,1.329500,1.325680,1.328420,0.000000
2025-05-12,1.328450,1.329960,1.313800,1.317750,0.000000
2025-05-13,1.317690,1.331570,1.317200,1.330200,0.000000
2025-05-14,1.330320,1.336030,1.325200,1.326290,0.000000
2025-05-15,1.326290,1.332010,1.325800,1.330270,0.000000
2025-05-16,1.330260,1.333260,1.324900,1.327480,0.000000
2025-05-18,1.329920,1.330500,1.329300,1.330440,0.000000
2025-05-19,1.330460,1.340380,1.328970,1.335810,0.000000
2025-05-20,1.335830,1.339800,1.333360,1.339650,0.000000
2025-05-21,1.339700,1.346860,1.338700,1.341980,0.000000
2025-05-22,1.342050,1.344100,1.338990,1.341880,0.000000
2025-05-23,1.341910,1.354000,1.341700,1.353700,0.000000
2025-05-25,1.352750,1.354160,1.351950,1.353730,0.000000
2025-05-26,1.353730,1.359300,1.353400,1.356470,0.000000
2025-05-27,1.356540,1.358700,1.349900,1.351310,0.000000
2025-05-28,1.351340,1.352200,1.341440,1.342780,0.000000
2025-05-29,1.342760,1.350750,1.341800,1.349820,0.000000
2025-05-30,1.349820,1.351100,1.344670,1.346400,0.000000
2025-06-01,1.346170,1.347400,1.345120,1.346770,0.000000
2025-06-02,1.346750,1.356000,1.346700,1.355650,0.000000
2025-06-03,1.355630,1.355800,1.349100,1.352990,0.000000
2025-06-04,1.352970,1.358100,1.350000,1.355020,0.000000
2025-06-05,1.355040,1.361700,1.353900,1.357820,0.000000
2025-06-06,1.357780,1.358500,1.350600,1.351930,0.000000
2025-06-08,1.352050,1.354000,1.351920,1.353630,0.000000
2025-06-09,1.353620,1.366130,1.340330,1.355410,0.000000
2025-06-10,1.355420,1.356400,1.345450,1.350640,0.000000
2025-06-11,1.350670,1.357300,1.346300,1.356800,0.000000
2025-06-12,1.356760,1.362950,1.352280,1.362810,0.000000
2025-06-13,1.362740,1.363240,1.351560,1.356400,0.000000
2025-06-15,1.356100,1.356100,1.356100,1.356100,0.000000
2025-06-16,1.354700,1.362300,1.353300,1.356770,0.000000
2025-06-17,1.356750,1.357920,1.339900,1.342860,0.000000
2025-06-18,1.342820,1.347670,1.339900,1.341200,0.000000
2025-06-19,1.341360,1.347920,1.338200,1.347560,0.000000
2025-06-20,1.347550,1.351200,1.344000,1.346500,0.000000
2025-06-22,1.339670,1.344100,1.339670,1.343400,0.000000
2025-06-23,1.343420,1.355480,1.336900,1.354500,0.000000
2025-06-24,1.354490,1.364850,1.353470,1.361450,0.000000
2025-06-25,1.361440,1.369200,1.347200,1.368980,0.000000
2025-06-26,1.368990,1.377100,1.367600,1.372440,0.000000
2025-06-27,1.372500,1.375230,1.368100,1.371400,0.000000
2025-06-29,1.369650,1.372770,1.369650,1.371800,0.000000
2025-06-30,1.371740,1.374030,1.367290,1.373010,0.000000
2025-07-01,1.372980,1.378900,1.370240,1.374500,0.000000
2025-07-02,1.374500,1.375300,1.356120,1.364870,0.000000
2025-07-03,1.364900,1.367600,1.358500,1.366690,0.000000
2025-07-04,1.366540,1.368240,1.359660,1.364900,0.000000
2025-07-06,1.363730,1.365450,1.363730,1.365030,0.000000
2025-07-07,1.365110,1.365800,1.357400,1.362330,0.000000
2025-07-08,1.362320,1.364700,1.352560,1.358440,0.000000
2025-07-09,1.358450,1.361970,1.356300,1.359720,0.000000
2025-07-10,1.359710,1.361950,1.353290,1.357950,0.000000
2025-07-11,1.357950,1.358130,1.348000,1.349900,0.000000
2025-07-13,1.348840,1.349500,1.348060,1.349480,0.000000
2025-07-14,1.349450,1.350400,1.341690,1.342740,0.000000
2025-07-15,1.342720,1.346700,1.337320,1.339100,0.000000
2025-07-16,1.339320,1.348470,1.336400,1.340960,0.000000
2025-07-17,1.340950,1.343410,1.337390,1.343080,0.000000
2025-07-18,1.343100,1.347530,1.340150,1.340800,0.000000
2025-07-20,1.341710,1.342100,1.340730,1.341440,0.000000
2025-07-21,1.341440,1.351060,1.340000,1.348900,0.000000
2025-07-22,1.348700,1.353400,1.346040,1.352000,0.000000
2025-07-23,1.351900,1.358700,1.351380,1.357840,0.000000
2025-07-24,1.357810,1.358820,1.349920,1.350810,0.000000
2025-07-25,1.350860,1.351190,1.341500,1.343290,0.000000
2025-07-27,1.342880,1.344540,1.342450,1.343720,0.000000
2025-07-28,1.343710,1.345300,1.334460,1.335890,0.000000
2025-07-29,1.335880,1.336410,1.330690,1.335280,0.000000
2025-07-30,1.335280,1.338540,1.322600,1.325540,0.000000
2025-07-31,1.325510,1.328220,1.318500,1.320740,0.000000
2025-08-01,1.320690,1.331030,1.314000,1.327700,0.000000
2025-08-03,1.327050,1.329200,1.327050,1.329070,0.000000
2025-08-04,1.329140,1.333100,1.325000,1.329720,0.000000
2025-08-05,1.329760,1.331640,1.325900,1.329780,0.000000
2025-08-06,1.329720,1.336810,1.328100,1.335710,0.000000
2025-08-07,1.335700,1.345210,1.334400,1.345100,0.000000
2025-08-08,1.345080,1.345860,1.341700,1.344900,0.000000
2025-08-10,1.343850,1.344950,1.343680,1.344100,0.000000
2025-08-11,1.344300,1.347630,1.339790,1.343290,0.000000
2025-08-12,1.343300,1.352400,1.341900,1.350400,0.000000
2025-08-13,1.350390,1.358500,1.349200,1.358300,0.000000
2025-08-14,1.358480,1.359490,1.351900,1.352940,0.000000
2025-08-15,1.352900,1.357510,1.352600,1.354890,0.000000
2025-08-17,1.354550,1.356310,1.354550,1.355560,0.000000
2025-08-18,1.355570,1.356500,1.349800,1.350720,0.000000
2025-08-19,1.350750,1.353140,1.347600,1.348450,0.000000
2025-08-20,1.348450,1.350950,1.344600,1.346570,0.000000
2025-08-21,1.346460,1.348260,1.340190,1.341750,0.000000
2025-08-22,1.341660,1.354420,1.338990,1.352000,0.000000
2025-08-24,1.351050,1.352460,1.350700,1.350800,0.000000
2025-08-25,1.350810,1.352690,1.344250,1.345390,0.000000
2025-08-26,1.345390,1.349340,1.343310,1.347650,0.000000
2025-08-27,1.347600,1.350530,1.341600,1.350350,0.000000
2025-08-28,1.350340,1.353080,1.348200,1.350750,0.000000
2025-08-29,1.350770,1.351660,1.344500,1.349900,0.000000
2025-08-31,1.349030,1.350730,1.349030,1.350270,0.000000
2025-09-01,1.350290,1.355100,1.350100,1.354580,0.000000
2025-09-02,1.354610,1.354790,1.333800,1.338070,0.000000
2025-09-03,1.338100,1.345810,1.333210,1.344050,0.000000
2025-09-04,1.344070,1.345930,1.341500,1.344350,0.000000
2025-09-05,1.344350,1.355450,1.344000,1.350800,0.000000
2025-09-07,1.349690,1.350280,1.348130,1.349230,0.000000
